approach;time;"cumulative score"
OriginalBCloudTree;0;426.6429999999999
OriginalBCloudTree;1;511.4564999999999
OriginalBCloudTree;2;596.27
OriginalBCloudTree;6;596.27
OriginalBCloudTree;7;626.7066666666666
OriginalBCloudTree;8;656.0366666666666
OriginalBCloudTree;9;843.3033333333334
OriginalBCloudTree;11;927.2183333333334
OriginalBCloudTree;13;927.2183333333334
OriginalBCloudTree;14;927.2183333333334
OriginalBCloudTree;15;989.065
OriginalBCloudTree;16;1072.9799999999998
OriginalBCloudTree;17;1176.335
OriginalBCloudTree;18;1248.28
OriginalBCloudTree;20;1248.28
OriginalBCloudTree;21;1248.28
OriginalBCloudTree;22;1331.2249999999997
OriginalBCloudTree;23;1394.959333333333
OriginalBCloudTree;25;1394.959333333333
OriginalBCloudTree;26;1512.7416666666666
OriginalBCloudTree;27;1598.1996666666664
OriginalBCloudTree;28;1675.7096666666664
OriginalBCloudTree;29;1675.7096666666664
OriginalBCloudTree;30;1738.2691666666663
OriginalBCloudTree;31;1738.2691666666663
OriginalBCloudTree;32;1738.2691666666663
OriginalBCloudTree;33;1768.5043333333329
OriginalBCloudTree;34;1852.212333333333
OriginalBCloudTree;35;2021.4113333333332
OriginalBCloudTree;37;2133.686333333333
OriginalBCloudTree;38;2164.3765
OriginalBCloudTree;40;2193.7065
OriginalBCloudTree;41;2193.7065
OriginalBCloudTree;42;2277.2664999999997
OriginalBCloudTree;43;2432.2865
OriginalBCloudTree;45;2462.7231666666667
OriginalBCloudTree;46;2462.7231666666667
OriginalBCloudTree;47;2578.6508333333336
OriginalBCloudTree;48;2663.4643333333343
OriginalBCloudTree;49;2663.4643333333343
OriginalBCloudTree;50;2663.4643333333343
OriginalBCloudTree;51;2741.8793333333338
OriginalBCloudTree;52;2771.2093333333332
OriginalBCloudTree;53;2771.2093333333332
OriginalBCloudTree;54;2878.954333333333
OriginalBCloudTree;55;2878.954333333333
OriginalBCloudTree;56;2963.7678333333333
