approach;time;score
BCloudTree;0;556.8448333333333
BCloudTree;1;589.9233333333332
BCloudTree;2;589.9233333333332
BCloudTree;5;589.9233333333332
BCloudTree;6;589.9233333333332
BCloudTree;7;859.7161666666666
BCloudTree;8;1030.8601666666666
BCloudTree;9;1201.9766666666667
BCloudTree;10;1201.9766666666667
BCloudTree;11;1201.9766666666667
BCloudTree;12;1201.9766666666667
BCloudTree;13;1267.3795
BCloudTree;14;1388.0036666666665
BCloudTree;15;1644.7731666666666
BCloudTree;16;1644.7731666666666
BCloudTree;17;1644.7731666666666
BCloudTree;18;1644.7731666666666
BCloudTree;19;1675.0083333333334
BCloudTree;20;1824.0145
BCloudTree;21;1988.422
BCloudTree;22;2074.075
BCloudTree;23;2242.5964999999997
BCloudTree;24;2242.5964999999997
BCloudTree;25;2242.5964999999997
BCloudTree;26;2304.241666666667
BCloudTree;27;2336.5660000000003
BCloudTree;28;2507.6825000000003
BCloudTree;29;2579.6275
BCloudTree;30;2830.1954999999994
BCloudTree;31;2830.1954999999994
BCloudTree;32;2830.1954999999994
BCloudTree;33;2893.9298333333327
BCloudTree;34;2925.3398333333325
BCloudTree;35;3082.098333333333
BCloudTree;36;3167.5563333333325
BCloudTree;37;3239.5013333333322
BCloudTree;38;3239.5013333333322
BCloudTree;39;3270.9113333333325
BCloudTree;40;3303.235666666666
BCloudTree;41;3474.2176666666664
BCloudTree;42;3660.1058333333335
BCloudTree;43;3745.563833333333
BCloudTree;44;3828.5088333333333
BCloudTree;45;3863.1679999999997
BCloudTree;46;3894.578
BCloudTree;47;3894.578
BCloudTree;48;3972.088
BCloudTree;49;4087.383
BCloudTree;50;4170.328
BCloudTree;51;4327.764
BCloudTree;52;4357.094
BCloudTree;53;4391.753166666666
BCloudTree;54;4391.753166666666
BCloudTree;55;4391.753166666666
BCloudTree;56;4587.994666666666
BCloudTree;57;4587.994666666666
BCloudTree;58;4673.987166666665
BCloudTree;59;4789.282166666664
BCloudTree;60;4823.941333333331
BCloudTree;61;4906.88633333333
BCloudTree;62;4939.210666666663
BCloudTree;63;5110.633666666664
BCloudTree;64;5110.633666666664
BCloudTree;65;5194.193666666663
BCloudTree;66;5194.193666666663
BCloudTree;67;5228.85283333333
